ID,Country,Region,EPSG,long,lat,year,week,date,value,life_stage,trap_type,volume,substrate,larvicide_presence,larvicide_type,Canonical_name,kingdom,phylum,class,order,family,genus,species,Institute,Contact_person
15884,Albania,Tirane,4326,19.5,41.2,2017,1,2017-01-07,0,eggs,ovitrap,0.9,"germination paper, scratched wooden tongue depressor",No,NA,Tiger mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,Institute of Public Health Tirana,keladikolli@yahoo.com
15884,Albania,Tirane,4326,19.5,41.2,2017,2,2017-01-14,0,eggs,ovitrap,0.9,"germination paper, scratched wooden tongue depressor",No,NA,Tiger mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,Institute of Public Health Tirana,keladikolli@yahoo.com
15884,Albania,Tirane,4326,19.5,41.2,2017,3,2017-01-21,0,eggs,ovitrap,0.9,"germination paper, scratched wooden tongue depressor",No,NA,Tiger mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,Institute of Public Health Tirana,keladikolli@yahoo.com
15884,Albania,Tirane,4326,19.5,41.2,2017,4,2017-01-28,0,eggs,ovitrap,0.9,"germination paper, scratched wooden tongue depressor",No,NA,Tiger mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,Institute of Public Health Tirana,keladikolli@yahoo.com
15884,Albania,Tirane,4326,19.5,41.2,2017,5,2017-02-04,0,eggs,ovitrap,0.9,"germination paper, scratched wooden tongue depressor",No,NA,Tiger mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,Institute of Public Health Tirana,keladikolli@yahoo.com
15884,Albania,Tirane,4326,19.5,41.2,2017,6,2017-02-11,0,eggs,ovitrap,0.9,"germination paper, scratched wooden tongue depressor",No,NA,Tiger mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,Institute of Public Health Tirana,keladikolli@yahoo.com
15884,Albania,Tirane,4326,19.5,41.2,2017,7,2017-02-18,0,eggs,ovitrap,0.9,"germination paper, scratched wooden tongue depressor",No,NA,Tiger mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,Institute of Public Health Tirana,keladikolli@yahoo.com
15884,Albania,Tirane,4326,19.5,41.2,2017,8,2017-02-25,0,eggs,ovitrap,0.9,"germination paper, scratched wooden tongue depressor",No,NA,Tiger mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,Institute of Public Health Tirana,keladikolli@yahoo.com
15884,Albania,Tirane,4326,19.5,41.2,2017,9,2017-03-04,0,eggs,ovitrap,0.9,"germination paper, scratched wooden tongue depressor",No,NA,Tiger mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,Institute of Public Health Tirana,keladikolli@yahoo.com
15884,Albania,Tirane,4326,19.5,41.2,2017,10,2017-03-11,0,eggs,ovitrap,0.9,"germination paper, scratched wooden tongue depressor",No,NA,Tiger mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,Institute of Public Health Tirana,keladikolli@yahoo.com
